Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
31,Non-Travel,1004,Research & Development,2,3,Medical,1,571,3,Female,44,4,1,Laboratory Technician,2,Single,2692,6463,0,Y,No,5,2,2,80,0,13,5,2,12,7,7,8
61,Travel_Frequently,1536,Sales,56,3,Marketing,1,573,3,Female,82,2,3,Sales Executive,4,Married,12011,2916,4,Y,No,17,2,5,80,0,23,8,1,19,13,14,12
48,Travel_Rarely,1008,Research & Development,3,2,Medical,1,574,4,Female,67,3,2,Manufacturing Director,2,Divorced,5932,7574,5,Y,No,17,2,3,80,3,21,-1,3,6,0,1,5
47,Travel_Rarely,1312,Research & Development,2,3,Life Sciences,1,575,1,Male,66,3,4,Research Director,4,Married,21612,2974,6,Y,No,21,2,1,80,0,27,2,4,4,2,1,0
36,Travel_Rarely,158,Research & Development,22,3,Life Sciences,1,577,1,Male,51,1,1,Laboratory Technician,1,Single,4822,21148,0,Y,No,14,4,4,80,0,7,5,3,6,4,5,4
55,Travel_Rarely,712,Research & Development,8,4,Life Sciences,1,578,4,Female,55,3,2,Laboratory Technician,4,Single,4536,30456,7,Y,No,20,5,4,80,0,20,3,3,2,0,1,1
35,Travel_Rarely,1368,Research & Development,2,4,Life Sciences,1,579,1,Male,65,2,1,Research Scientist,3,Divorced,3183,8837,3,Y,No,15,3,1,80,1,15,6,1,8,3,6,8
47,Travel_Rarely,1153,Sales,15,3,Marketing,1,580,1,Female,96,1,3,Sales Executive,1,Married,9525,11852,2,Y,Yes,5,4,4,80,1,16,3,1,4,2,2,3
32,Travel_Rarely,1306,Research & Development,9,1,Life Sciences,1,581,3,Male,34,1,3,Manufacturing Director,4,Divorced,12245,14754,1,Y,Yes,15,4,5,80,1,14,6,4,14,8,1,9
31,Travel_Rarely,372,Sales,5,1,Marketing,1,585,4,Male,51,3,1,Sales Representative,2,Single,3311,16558,0,Y,No,11,2,1,80,0,5,3,1,4,2,2,3
36,Travel_Rarely,1404,Research & Development,12,3,Life Sciences,1,586,5,Male,79,3,3,Healthcare Representative,1,Married,8014,15725,4,Y,No,5,2,4,80,0,11,5,3,9,7,1,0
43,Travel_Frequently,1511,Research & Development,5,2,Other,1,591,4,Male,99,3,1,Laboratory Technician,1,Married,2407,9492,4,Y,No,15,4,4,80,1,9,7,3,3,2,3,1
37,Non-Travel,826,Sales,10,4,Medical,1,592,1,Male,42,3,3,Sales Executive,4,Single,12076,19913,1,Y,No,21,5,4,80,0,11,4,2,11,3,10,0
49,Travel_Rarely,171,Sales,2,5,Marketing,1,595,2,Female,39,1,2,Sales Executive,2,Married,4740,20641,2,Y,No,17,2,0,80,1,15,2,3,10,7,7,8
56,Travel_Rarely,1145,Sales,18,5,Life Sciences,1,597,1,Female,85,1,4,Manager,4,Single,17677,10120,3,Y,No,5,3,5,80,0,38,2,1,11,9,8,0
42,Non-Travel,274,Sales,5,2,Life Sciences,1,599,2,Male,57,1,2,Sales Executive,5,Single,7102,13766,7,Y,Yes,14,4,4,80,0,17,6,3,15,3,2,11
36,Travel_Rarely,634,Sales,1,3,Marketing,1,600,4,Male,87,1,2,Sales Executive,3,Divorced,5425,19125,9,Y,No,15,2,3,80,0,16,2,3,12,9,7,10
41,Travel_Rarely,332,Research & Development,6,3,Life Sciences,1,601,2,Female,83,3,4,Manufacturing Director,4,Single,13899,22400,7,Y,No,5,3,1,80,0,23,3,3,21,6,6,14
40,Travel_Frequently,487,Research & Development,8,1,Life Sciences,1,602,1,Female,53,4,1,Laboratory Technician,1,Married,4318,19659,1,Y,No,15,3,4,80,1,9,3,3,9,3,1,0
32,Travel_Rarely,828,Sales,2,1,Life Sciences,1,604,1,Male,77,1,2,Sales Executive,2,Single,6911,8346,4,Y,Yes,5,3,3,80,0,11,2,4,7,5,1,6
43,Travel_Rarely,447,Research & Development,12,3,Medical,1,605,4,Male,78,3,5,Manufacturing Director,2,Married,9109,9730,1,Y,Yes,23,5,4,80,2,11,5,2,11,9,6,9
46,Travel_Rarely,589,Sales,4,3,Other,1,606,2,Male,64,1,2,Sales Executive,2,Married,5045,16986,0,Y,Yes,5,4,4,80,1,10,3,1,9,7,4,8
30,Travel_Rarely,238,Research & Development,19,3,Technical Degree,1,611,4,Male,35,3,2,Manufacturing Director,1,Divorced,4987,23211,4,Y,No,17,2,2,80,2,9,2,1,4,2,2,3
34,Travel_Rarely,1014,Research & Development,2,5,Medical,1,612,1,Female,105,5,4,Research Director,1,Divorced,16993,24836,4,Y,No,5,2,1,80,1,11,2,3,7,1,1,6
32,Travel_Rarely,722,Sales,7,3,Life Sciences,1,613,4,Male,46,1,3,Manager,5,Divorced,12135,26556,9,Y,No,5,3,4,80,1,11,6,2,6,4,1,2
41,Non-Travel,985,Sales,21,3,Other,1,615,3,Male,52,4,3,Sales Executive,1,Divorced,11479,10236,3,Y,No,5,3,3,80,1,21,4,3,2,0,1,0
42,Non-Travel,534,Research & Development,1,4,Other,1,616,0,Female,65,2,2,Healthcare Representative,3,Single,7765,2218,2,Y,No,14,4,1,80,0,11,3,4,9,7,1,8
27,Travel_Rarely,930,Sales,29,2,Medical,1,618,2,Male,54,3,4,Sales Executive,3,Divorced,4521,5120,5,Y,No,5,2,1,80,3,9,3,3,1,0,1,1
36,Travel_Rarely,205,Sales,1,3,Medical,1,620,4,Female,84,3,2,Sales Executive,1,Single,5588,7033,1,Y,No,15,2,2,80,0,6,3,3,6,4,1,4
35,Travel_Rarely,310,Sales,21,4,Life Sciences,1,621,4,Male,89,4,4,Sales Executive,4,Married,5604,23905,1,Y,No,5,4,4,80,0,11,4,3,11,7,6,8
38,Travel_Rarely,799,Research & Development,1,3,Technical Degree,1,623,1,Female,59,3,3,Manufacturing Director,3,Single,8315,23848,4,Y,No,11,2,3,80,0,13,6,4,7,5,2,3
47,Travel_Frequently,1137,Research & Development,18,1,Medical,1,624,1,Female,95,1,3,Healthcare Representative,1,Married,12106,9882,5,Y,No,15,3,1,80,0,29,3,1,3,2,2,3
42,Travel_Rarely,1404,Sales,2,5,Life Sciences,1,625,4,Female,100,3,4,Manager,1,Married,17425,6189,7,Y,No,5,2,2,80,1,23,2,3,19,16,12,9
38,Non-Travel,146,Sales,9,4,Medical,1,626,1,Male,71,4,3,Sales Executive,4,Divorced,10336,25283,1,Y,No,17,3,2,80,1,10,6,3,10,5,8,8
53,Travel_Rarely,1004,Research & Development,9,2,Technical Degree,1,630,5,Male,82,3,2,Research Scientist,1,Married,6414,23191,3,Y,Yes,15,4,4,80,2,19,3,3,11,9,7,10
25,Travel_Frequently,482,Sales,18,3,Medical,1,632,2,Male,34,4,1,Sales Representative,2,Married,2664,4977,0,Y,No,11,2,2,80,2,4,6,3,3,2,3,0
39,Travel_Rarely,2093,Research & Development,20,3,Medical,1,634,4,Female,106,3,2,Healthcare Representative,4,Married,12084,31044,3,Y,Yes,23,4,1,80,2,19,4,1,2,0,1,1
38,Travel_Rarely,468,Research & Development,1,4,Life Sciences,1,635,4,Female,68,3,2,Manufacturing Director,2,Married,7543,16486,6,Y,No,17,3,2,80,1,9,2,1,7,5,5,4
50,Travel_Rarely,1121,Research & Development,18,4,Life Sciences,1,638,3,Male,52,2,5,Research Director,1,Divorced,21647,1913,1,Y,Yes,11,2,1,80,1,32,8,3,32,9,1,10
25,Travel_Rarely,967,Research & Development,23,3,Medical,1,639,3,Male,125,5,3,Research Director,2,Married,3352,30282,1,Y,Yes,23,2,3,80,3,7,2,4,7,0,0,5
27,Travel_Rarely,773,Sales,28,2,Marketing,1,641,0,Male,73,3,2,Sales Executive,4,Married,7150,8171,1,Y,No,14,2,2,80,2,7,5,4,6,3,2,5
25,Travel_Rarely,864,Research & Development,17,2,Other,1,643,4,Male,99,2,1,Laboratory Technician,2,Married,2233,9555,1,Y,No,5,4,4,80,1,2,5,3,2,0,1,1
51,Travel_Frequently,1371,Human Resources,3,3,Medical,1,644,1,Male,109,4,5,Manager,4,Divorced,21294,8799,1,Y,No,17,3,3,80,1,33,5,1,33,5,11,8
26,Travel_Rarely,638,Sales,10,1,Medical,1,645,1,Male,41,3,1,Sales Representative,4,Married,2389,27035,1,Y,No,14,3,4,80,0,8,0,3,8,4,1,7
35,Travel_Rarely,229,Research & Development,1,2,Life Sciences,1,649,1,Male,75,2,1,Research Scientist,2,Married,4020,20515,1,Y,Yes,11,2,2,80,1,7,6,3,7,5,2,4
36,Travel_Rarely,484,Research & Development,19,2,Other,1,652,1,Male,49,2,2,Laboratory Technician,3,Single,3865,12604,4,Y,No,5,2,2,80,0,10,3,3,4,2,1,3
32,Travel_Rarely,578,Sales,6,4,Medical,1,653,1,Male,73,1,2,Sales Executive,4,Divorced,6388,6841,4,Y,No,17,2,5,80,2,14,4,1,8,7,6,8
28,Travel_Rarely,718,Research & Development,3,4,Medical,1,655,1,Female,59,1,1,Research Scientist,3,Divorced,2296,4512,0,Y,No,5,3,1,80,2,7,5,2,6,3,1,4
38,Travel_Rarely,586,Sales,2,3,Marketing,1,656,2,Male,79,3,2,Sales Executive,1,Married,10946,3161,4,Y,Yes,14,2,3,80,1,18,3,2,4,0,2,1
21,Travel_Rarely,1247,Research & Development,1,3,Life Sciences,1,657,4,Female,108,2,3,Research Director,4,Single,2978,15284,1,Y,No,5,2,4,80,0,2,0,4,2,0,0,1
43,Travel_Rarely,638,Research & Development,3,4,Life Sciences,1,659,1,Female,83,1,2,Healthcare Representative,4,Divorced,4293,5861,1,Y,No,5,3,1,80,2,11,2,3,11,2,3,3
44,Travel_Rarely,860,Research & Development,6,4,Other,1,661,4,Male,55,1,4,Research Director,5,Divorced,18955,2938,4,Y,Yes,14,2,3,80,1,22,5,2,2,0,1,0
39,Travel_Rarely,326,Research & Development,1,1,Life Sciences,1,662,3,Female,39,3,1,Research Scientist,1,Single,2907,13105,3,Y,No,11,2,2,80,0,9,2,4,1,0,1,1
44,Travel_Frequently,1001,Research & Development,9,5,Medical,1,663,4,Male,72,3,2,Laboratory Technician,3,Divorced,5963,19627,3,Y,Yes,5,2,1,80,1,11,2,3,9,7,5,8
49,Travel_Rarely,1483,Research & Development,1,4,Life Sciences,1,664,2,Female,48,1,4,Manager,1,Married,18636,21596,7,Y,No,21,2,1,80,1,22,3,0,4,2,1,3
45,Travel_Rarely,1223,Human Resources,1,4,Life Sciences,1,665,1,Female,55,2,2,Human Resources,3,Single,6883,29583,4,Y,No,15,3,4,80,0,11,1,4,3,2,1,0
35,Travel_Rarely,209,Sales,14,3,Technical Degree,1,666,1,Female,32,3,1,Sales Representative,3,Divorced,3017,2985,1,Y,Yes,17,4,4,80,2,9,6,3,9,2,1,7
22,Travel_Rarely,1477,Sales,11,1,Technical Degree,1,669,4,Male,54,4,1,Sales Representative,3,Single,4033,26888,1,Y,No,17,3,1,80,0,4,2,3,4,2,2,3
45,Travel_Rarely,1447,Research & Development,3,4,Other,1,671,1,Male,39,3,5,Manager,5,Married,22830,10294,4,Y,Yes,17,3,1,80,1,27,2,4,3,2,1,0
23,Travel_Rarely,604,Research & Development,6,1,Medical,1,675,1,Male,69,3,1,Research Scientist,3,Married,2912,12145,0,Y,No,5,2,2,80,0,4,3,3,3,2,3,3
34,Travel_Rarely,1216,Sales,8,4,Marketing,1,677,1,Male,39,3,2,Sales Executive,3,Married,7459,20431,0,Y,No,5,3,3,80,0,7,3,1,6,0,2,3
33,Travel_Rarely,662,Research & Development,9,4,Life Sciences,1,679,4,Female,94,3,2,Research Scientist,2,Married,7397,18541,1,Y,Yes,17,3,4,80,1,7,2,2,7,4,1,0
31,Travel_Frequently,164,Research & Development,3,3,Medical,1,680,4,Female,73,3,1,Research Scientist,1,Divorced,2437,23219,1,Y,No,17,3,1,80,1,2,2,3,2,0,1,1
54,Travel_Rarely,250,Sales,1,1,Medical,1,682,4,Female,36,4,2,Sales Executive,1,Single,8800,7882,7,Y,No,5,3,4,80,0,19,5,4,15,7,9,11
35,Travel_Rarely,1537,Research & Development,1,5,Life Sciences,1,683,1,Male,46,4,1,Research Scientist,5,Married,2826,8426,1,Y,No,5,4,1,80,1,11,6,2,11,9,9,9
27,Travel_Rarely,1090,Research & Development,5,3,Life Sciences,1,686,4,Female,78,1,1,Laboratory Technician,5,Married,3031,19535,1,Y,Yes,14,2,4,80,1,4,2,3,4,2,1,3
38,Travel_Rarely,530,Research & Development,3,3,Other,1,689,1,Male,40,3,3,Manufacturing Director,1,Married,10849,10567,1,Y,No,15,2,1,80,1,11,2,3,11,7,8,9
30,Travel_Rarely,1205,Sales,2,2,Medical,1,690,1,Female,64,3,2,Sales Executive,3,Married,5839,3574,1,Y,Yes,5,4,4,80,1,7,5,2,7,0,2,3
36,Travel_Rarely,1119,Research & Development,12,4,Life Sciences,1,691,2,Male,90,1,2,Research Scientist,5,Single,7776,21305,1,Y,No,17,3,1,80,0,18,4,1,18,11,12,9
34,Travel_Frequently,1361,Research & Development,6,3,Life Sciences,1,692,1,Male,32,3,2,Healthcare Representative,4,Divorced,9038,5602,3,Y,No,17,2,3,80,1,16,3,4,14,11,5,8
55,Travel_Rarely,397,Human Resources,19,4,Medical,1,698,1,Male,88,1,3,Human Resources,2,Divorced,11261,6729,2,Y,No,5,2,1,80,1,17,-2,1,10,7,8,2
37,Travel_Rarely,1096,Research & Development,9,2,Medical,1,699,2,Male,58,2,2,Manufacturing Director,1,Divorced,10882,16721,2,Y,Yes,23,4,3,80,1,14,2,1,4,2,1,0
28,Travel_Rarely,1227,Research & Development,3,4,Medical,1,700,4,Male,59,2,1,Research Scientist,2,Single,2147,16691,0,Y,No,5,3,5,80,0,6,0,4,5,2,2,2
36,Non-Travel,654,Research & Development,3,3,Life Sciences,1,704,1,Male,37,2,1,Laboratory Technician,1,Married,1371,15210,1,Y,No,7,3,3,80,2,2,5,3,2,0,1,1
24,Travel_Rarely,1151,Research & Development,4,3,Medical,1,705,1,Male,75,4,3,Research Director,1,Married,2960,11107,2,Y,No,5,2,1,80,1,6,0,4,4,0,0,3
26,Travel_Rarely,891,Sales,8,3,Life Sciences,1,707,5,Male,63,1,2,Sales Executive,1,Married,5094,17246,0,Y,Yes,5,2,1,80,1,5,6,3,4,2,2,3
39,Travel_Rarely,255,Sales,7,4,Marketing,1,709,5,Female,48,1,2,Sales Executive,1,Single,4713,8181,0,Y,No,17,4,4,80,0,9,2,3,8,7,1,6
30,Travel_Frequently,846,Research & Development,1,4,Life Sciences,1,710,1,Male,80,4,1,Research Scientist,1,Divorced,3101,19907,1,Y,No,14,4,5,80,1,11,5,3,11,7,3,9
49,Travel_Rarely,980,Sales,2,1,Marketing,1,712,1,Male,67,5,4,Sales Executive,1,Married,9744,22316,3,Y,No,20,2,4,80,0,13,3,4,3,2,3,3
28,Travel_Frequently,1445,Sales,3,1,Medical,1,714,1,Female,73,1,2,Sales Executive,1,Divorced,4879,17090,1,Y,Yes,5,3,1,80,2,7,3,3,7,5,1,5
38,Travel_Rarely,1348,Research & Development,10,2,Life Sciences,1,715,2,Male,88,4,1,Research Scientist,4,Single,4914,16755,3,Y,No,5,4,1,80,0,5,4,3,2,0,1,1
51,Travel_Rarely,1690,Research & Development,28,1,Medical,1,716,2,Male,104,1,1,Laboratory Technician,4,Married,3897,4616,1,Y,Yes,21,5,4,80,3,21,1,3,21,8,4,9
35,Travel_Rarely,1586,Research & Development,7,3,Medical,1,717,4,Female,51,2,3,Healthcare Representative,4,Married,9052,19419,1,Y,No,5,4,1,80,0,10,3,4,9,7,8,8
40,Travel_Rarely,449,Research & Development,2,4,Technical Degree,1,721,2,Female,88,2,2,Healthcare Representative,1,Single,5327,23076,1,Y,No,17,4,1,80,0,21,5,3,21,7,12,11
33,Travel_Rarely,975,Sales,10,3,Marketing,1,722,2,Male,58,3,2,Sales Executive,4,Single,6313,22788,1,Y,No,17,2,5,80,0,11,2,4,11,7,1,9
39,Travel_Rarely,848,Research & Development,1,4,Life Sciences,1,724,1,Female,34,4,2,Healthcare Representative,4,Single,8006,19868,0,Y,No,5,4,3,80,0,11,4,2,10,7,2,9
28,Travel_Rarely,623,Research & Development,1,2,Life Sciences,1,725,3,Female,70,3,3,Manufacturing Director,1,Married,8672,6159,1,Y,No,17,2,4,80,0,10,3,1,10,7,1,0
33,Travel_Rarely,1043,Research & Development,3,2,Life Sciences,1,727,3,Female,40,3,3,Research Director,1,Single,11717,19857,3,Y,No,5,3,2,80,0,11,6,3,8,7,8,8
48,Travel_Rarely,738,Sales,14,4,Marketing,1,728,1,Male,44,3,2,Sales Executive,1,Single,5654,12416,2,Y,Yes,14,3,5,80,0,21,5,4,8,7,2,8
41,Travel_Frequently,522,Sales,5,4,Life Sciences,1,729,4,Male,43,2,3,Sales Executive,1,Married,11208,21395,5,Y,Yes,7,2,1,80,1,21,2,3,19,13,2,13
54,Travel_Rarely,1067,Research & Development,7,3,Life Sciences,1,730,1,Male,65,4,4,Research Director,1,Married,16888,14865,3,Y,No,14,4,3,80,0,33,3,1,6,1,2,4
42,Travel_Rarely,448,Human Resources,10,4,Human Resources,1,731,1,Male,77,2,5,Manager,2,Divorced,22395,9304,3,Y,No,17,3,4,80,3,24,2,2,22,6,13,7
61,Travel_Rarely,1061,Sales,12,4,Marketing,1,732,1,Male,76,3,2,Sales Executive,1,Single,6000,10732,8,Y,No,11,2,2,80,0,11,4,3,3,2,3,3
28,Travel_Frequently,301,Research & Development,10,2,Life Sciences,1,733,2,Male,33,1,3,Manufacturing Director,1,Divorced,9233,4929,1,Y,Yes,5,4,1,80,2,10,7,4,10,7,2,8
42,Travel_Rarely,283,Human Resources,1,3,Human Resources,1,734,4,Male,53,2,5,Manager,1,Married,21300,17606,1,Y,No,11,2,2,80,1,23,3,3,23,7,3,11
51,Travel_Rarely,324,Sales,6,4,Marketing,1,738,1,Male,55,4,1,Sales Representative,1,Married,4418,10233,7,Y,No,14,3,1,80,1,5,2,1,3,2,3,3
37,Non-Travel,384,Research & Development,8,3,Life Sciences,1,742,1,Female,57,5,3,Research Director,1,Married,12299,18302,9,Y,No,5,2,1,80,1,11,2,3,9,7,1,0
39,Travel_Rarely,235,Research & Development,2,3,Life Sciences,1,743,1,Female,113,3,5,Manufacturing Director,4,Single,8254,21556,4,Y,Yes,5,5,4,80,0,11,5,4,2,0,1,1
45,Non-Travel,381,Research & Development,18,3,Medical,1,744,1,Male,49,1,1,Laboratory Technician,1,Single,4116,2104,2,Y,Yes,11,2,3,80,0,10,5,1,6,2,2,5
48,Travel_Frequently,222,Sales,3,3,Medical,1,746,1,Female,50,1,4,Sales Executive,1,Divorced,14459,10481,9,Y,Yes,5,2,5,80,2,29,2,2,23,2,12,14
31,Travel_Rarely,514,Sales,27,5,Marketing,1,747,3,Male,101,3,2,Sales Executive,2,Divorced,6047,25907,7,Y,No,14,4,4,80,1,11,2,1,9,7,8,8
30,Travel_Rarely,1536,Sales,10,3,Life Sciences,1,749,1,Male,109,3,1,Sales Representative,1,Single,2774,3031,1,Y,No,5,4,4,80,0,2,6,3,2,0,1,0
44,Travel_Frequently,794,Sales,15,3,Life Sciences,1,754,4,Male,48,2,2,Sales Executive,4,Married,7961,24275,3,Y,No,17,2,3,80,1,8,5,3,3,2,3,3
35,Travel_Rarely,970,Research & Development,4,2,Medical,1,757,1,Female,96,3,2,Healthcare Representative,2,Single,6572,7360,3,Y,No,7,2,2,80,0,11,2,1,6,1,5,0
24,Travel_Rarely,666,Research & Development,9,1,Medical,1,758,4,Male,38,3,1,Laboratory Technician,4,Divorced,2925,4453,1,Y,No,17,3,2,80,1,6,4,1,5,3,1,0
40,Travel_Rarely,169,Human Resources,2,3,Human Resources,1,760,3,Female,53,4,2,Human Resources,1,Married,7858,22520,9,Y,No,23,2,4,80,1,13,4,1,9,3,4,7
57,Travel_Rarely,915,Research & Development,5,3,Medical,1,762,3,Male,89,3,4,Healthcare Representative,4,Married,12657,22462,7,Y,No,14,4,4,80,0,31,1,1,11,7,2,2
41,Travel_Rarely,884,Research & Development,3,1,Medical,1,763,4,Female,95,2,1,Research Scientist,1,Single,2740,25222,0,Y,Yes,17,2,1,80,0,6,5,1,5,2,3,4
28,Travel_Rarely,1024,Research & Development,7,3,Medical,1,764,5,Female,58,2,2,Healthcare Representative,1,Single,7152,24568,8,Y,No,5,3,4,80,0,10,1,1,8,6,1,8
30,Travel_Rarely,981,Sales,10,3,Marketing,1,766,4,Male,75,1,1,Sales Representative,2,Divorced,2412,16170,1,Y,No,5,2,2,80,2,3,2,1,3,2,3,0
54,Travel_Rarely,363,Research & Development,5,3,Life Sciences,1,769,1,Male,90,3,2,Laboratory Technician,2,Single,2867,11465,2,Y,No,17,2,5,80,0,20,2,1,3,2,3,3
36,Non-Travel,1256,Research & Development,1,4,Life Sciences,1,771,5,Female,63,3,2,Healthcare Representative,0,Divorced,5857,4880,2,Y,No,15,4,1,80,1,17,5,1,2,0,1,1
33,Travel_Frequently,441,Research & Development,24,4,Life Sciences,1,772,4,Male,82,3,2,Laboratory Technician,1,Married,5574,21675,1,Y,No,5,4,1,80,2,11,5,1,11,8,5,0
39,Travel_Rarely,275,Research & Development,3,5,Medical,1,773,4,Male,94,1,1,Research Scientist,3,Married,3210,20983,6,Y,Yes,5,3,1,80,1,7,0,1,2,0,1,2
35,Travel_Rarely,217,Research & Development,6,5,Life Sciences,1,775,3,Female,42,3,2,Manufacturing Director,1,Divorced,6299,5443,3,Y,No,23,4,4,80,1,8,5,3,1,0,1,1
53,Travel_Rarely,652,Sales,2,4,Marketing,1,776,1,Male,33,2,4,Manager,1,Married,19384,10588,1,Y,No,15,2,4,80,0,35,3,4,35,6,2,17
26,Travel_Rarely,1236,Sales,26,1,Medical,1,781,4,Female,45,3,4,Sales Executive,2,Single,6489,31930,1,Y,No,5,2,3,80,0,7,8,2,7,5,2,5
46,Travel_Rarely,1145,Sales,2,2,Technical Degree,1,783,1,Male,55,1,4,Sales Representative,4,Single,6964,14866,0,Y,No,5,2,3,80,0,10,3,3,9,7,4,0
24,Travel_Rarely,326,Research & Development,8,1,Medical,1,784,4,Male,83,1,1,Research Scientist,1,Single,4101,20612,1,Y,No,17,3,2,80,0,3,3,3,3,2,1,3
35,Travel_Rarely,312,Sales,2,3,Other,1,786,2,Male,61,3,2,Sales Executive,4,Single,7152,19153,1,Y,No,14,4,1,80,0,7,5,3,7,5,2,5
37,Non-Travel,1291,Sales,8,4,Life Sciences,1,789,1,Male,68,2,3,Sales Executive,1,Single,8422,12806,1,Y,No,11,3,2,80,0,11,1,3,11,7,1,10
53,Non-Travel,751,Research & Development,19,4,Medical,1,791,5,Male,43,1,1,Research Scientist,2,Married,4854,27918,0,Y,No,14,2,0,80,1,6,2,3,5,3,2,3
27,Travel_Frequently,805,Research & Development,1,2,Life Sciences,1,792,1,Female,99,1,1,Laboratory Technician,2,Divorced,5368,7403,3,Y,No,23,2,1,80,1,6,2,3,3,2,3,1
30,Travel_Rarely,673,Research & Development,27,3,Medical,1,793,2,Female,68,3,2,Healthcare Representative,3,Married,5072,26188,4,Y,No,17,2,1,80,1,12,5,2,9,7,2,2
35,Travel_Rarely,200,Research & Development,2,4,Life Sciences,1,797,2,Female,79,5,1,Research Scientist,1,Single,3772,14906,2,Y,No,15,3,1,80,0,11,3,3,5,2,2,4
55,Travel_Rarely,414,Research & Development,14,4,Medical,1,799,5,Female,105,3,2,Manufacturing Director,1,Divorced,6417,24937,9,Y,No,17,4,4,80,2,10,4,3,6,3,2,5
28,Travel_Frequently,746,Sales,8,1,Marketing,1,800,2,Male,76,3,2,Sales Executive,3,Married,4559,21607,0,Y,No,5,3,2,80,1,6,6,3,5,2,2,2
38,Travel_Rarely,600,Research & Development,10,1,Life Sciences,1,802,5,Female,86,4,1,Research Scientist,4,Married,3171,20900,0,Y,Yes,14,2,4,80,2,7,3,1,6,3,5,0
39,Travel_Frequently,252,Research & Development,2,4,Life Sciences,1,803,4,Female,79,4,2,Manufacturing Director,4,Single,6997,27389,6,Y,No,17,2,1,80,0,18,2,3,16,7,5,13
35,Travel_Rarely,109,Research & Development,2,4,Medical,1,804,2,Female,77,2,1,Research Scientist,1,Single,4600,6777,1,Y,No,5,3,3,80,0,7,0,3,7,5,2,4
36,Travel_Rarely,346,Sales,8,4,Life Sciences,1,805,1,Female,65,3,1,Sales Representative,2,Married,2855,18285,1,Y,No,11,3,2,80,1,4,3,2,4,2,1,3
31,Travel_Rarely,944,Research & Development,1,3,Life Sciences,1,806,2,Male,39,1,1,Laboratory Technician,1,Married,4485,24984,3,Y,No,17,4,3,80,2,8,2,1,3,2,1,3
41,Travel_Frequently,712,Research & Development,2,2,Medical,1,807,1,Female,34,4,2,Healthcare Representative,1,Divorced,4456,8938,1,Y,No,5,3,2,80,1,9,1,3,9,7,4,8
35,Travel_Rarely,1139,Sales,8,2,Life Sciences,1,808,3,Female,95,1,2,Sales Executive,0,Married,6825,13638,5,Y,No,5,3,1,80,1,7,1,3,4,2,2,3
43,Travel_Frequently,584,Research & Development,8,3,Life Sciences,1,809,1,Male,68,3,5,Manager,4,Divorced,21563,16631,1,Y,Yes,17,3,1,80,1,25,3,1,25,7,15,10
25,Non-Travel,1420,Research & Development,7,3,Life Sciences,1,812,4,Male,78,2,1,Laboratory Technician,3,Divorced,3260,34516,1,Y,No,21,5,1,80,3,2,4,3,2,0,1,1
53,Travel_Rarely,1391,Research & Development,11,4,Life Sciences,1,813,2,Female,86,3,2,Laboratory Technician,3,Married,3684,22912,8,Y,No,17,4,1,80,1,10,6,1,6,2,2,5
51,Travel_Rarely,760,Research & Development,1,3,Medical,1,815,1,Male,70,3,4,Research Director,4,Married,20285,7569,5,Y,No,15,4,5,80,0,31,6,3,5,3,1,4
34,Travel_Rarely,192,Research & Development,7,3,Medical,1,817,3,Male,44,4,3,Research Director,1,Married,12276,23396,0,Y,No,5,2,2,80,0,15,6,1,14,9,4,8
48,Travel_Rarely,207,Research & Development,2,2,Other,1,820,3,Female,34,3,4,Manager,1,Married,19600,13307,1,Y,No,17,4,3,80,1,27,5,2,27,14,4,1
37,Travel_Rarely,811,Research & Development,1,3,Other,1,823,4,Female,42,3,2,Manufacturing Director,2,Married,6430,28033,0,Y,No,23,2,3,80,1,11,2,1,10,7,1,6
30,Travel_Rarely,1753,Research & Development,23,2,Life Sciences,1,824,1,Male,113,4,3,Research Director,4,Married,3321,33291,1,Y,No,23,5,4,80,1,11,4,3,11,0,0,8
36,Travel_Rarely,1132,Research & Development,1,4,Life Sciences,1,826,3,Female,36,4,1,Research Scientist,3,Single,2631,11971,3,Y,No,5,3,3,80,0,8,0,3,3,2,3,3
43,Travel_Rarely,979,Research & Development,1,2,Life Sciences,1,827,5,Female,45,4,2,Manufacturing Director,5,Married,7093,4254,9,Y,No,17,3,4,80,1,9,4,3,5,3,1,3
37,Travel_Rarely,1041,Human Resources,7,3,Human Resources,1,829,3,Male,36,3,1,Human Resources,1,Married,2293,25527,4,Y,Yes,7,3,1,80,1,9,2,1,6,2,1,0
33,Travel_Rarely,880,Research & Development,4,3,Life Sciences,1,830,3,Female,100,2,2,Manufacturing Director,4,Married,6470,19602,1,Y,No,5,2,4,80,1,15,3,3,15,13,7,9
41,Travel_Frequently,756,Research & Development,12,4,Medical,1,832,1,Male,54,4,2,Laboratory Technician,1,Single,5960,12582,6,Y,No,17,2,1,80,0,11,9,3,2,0,1,1
