EmployeeNumber,Attrition,Age,DistanceFromHome,MonthlyIncome,PercentSalaryHike,TrainingTimesLastYear,RatioYearsPerCompany,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Gender,OverTime
193,0,38,3,4317,20,2,4.75,3,2,2,2,1,5,4,3,2,3,4,2,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1
194,0,30,18,2632,14,4,2.5,5,4,0,4,1,3,1,3,1,3,3,3,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
195,0,32,9,4668,17,2,9,8,7,0,7,2,2,4,1,2,4,3,4,3,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
197,0,30,5,3204,14,3,1.333333333,3,2,2,2,1,3,4,3,1,1,3,4,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
198,0,30,2,2720,13,3,6,5,3,1,2,1,1,2,2,1,4,3,4,0,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
199,0,41,10,17181,13,2,4.2,7,6,7,7,2,3,4,2,4,1,3,2,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
200,0,41,9,2238,21,2,2.333333333,5,0,1,4,1,4,3,3,1,1,4,4,1,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
201,0,19,3,1483,14,3,0.5,1,0,0,0,1,1,2,3,1,2,3,4,0,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
202,0,40,26,5605,11,2,10,20,7,2,13,2,3,2,3,2,2,3,1,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
204,0,35,1,7295,13,3,5,10,8,0,6,1,5,3,3,3,2,3,1,2,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
205,0,53,6,2306,20,3,4.333333333,7,7,4,5,1,2,2,3,2,3,4,4,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
206,0,45,9,2348,18,2,2.222222222,17,9,0,15,1,3,2,3,2,2,3,3,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
207,0,32,8,8998,14,2,4.5,9,8,3,7,2,3,2,3,3,4,3,4,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
208,0,29,1,4319,13,1,5,10,7,0,9,0,1,4,3,2,3,3,1,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
211,0,51,7,6132,17,2,3.333333333,1,0,0,0,1,4,2,2,2,3,3,3,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
214,0,58,9,3346,20,3,1.8,1,0,0,0,1,3,2,2,1,2,4,2,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
215,0,40,4,10855,11,2,1.875,12,11,2,11,1,4,3,2,3,4,3,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
216,0,34,2,2231,18,3,0.857142857,4,3,1,2,2,4,3,3,1,3,3,4,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
217,0,22,19,2323,24,6,1,2,2,2,2,1,1,3,3,1,4,4,1,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
218,0,27,9,2024,18,1,0.857142857,2,2,2,2,0,3,4,3,1,2,3,4,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
221,0,28,21,2713,11,2,2.5,5,2,0,2,1,3,3,3,1,4,3,3,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
223,0,57,24,9439,16,2,3,5,3,1,4,1,2,3,4,3,4,3,2,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
224,0,27,3,2566,15,2,0.5,1,1,0,1,0,3,3,2,1,3,3,4,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
226,0,50,11,19926,15,5,5.25,5,4,4,4,1,3,3,3,5,2,3,2,0,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
227,0,41,14,2451,12,2,2.6,9,8,1,8,1,3,1,3,1,3,3,1,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
228,0,30,5,9419,12,2,4,10,9,7,4,1,3,2,3,3,4,3,3,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
230,0,38,1,8686,22,2,2.4,8,3,0,7,1,4,1,2,2,4,4,3,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
231,0,32,6,3038,20,2,2,5,4,1,4,1,5,3,3,1,3,4,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
233,0,27,17,3058,16,3,6,5,2,1,1,1,3,3,3,1,2,3,4,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
235,1,19,1,2325,21,5,1,0,0,0,0,2,1,3,1,1,1,4,1,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
238,0,36,3,2088,12,3,2.6,8,7,7,2,2,2,4,3,1,2,3,3,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
239,0,30,9,3072,11,4,6,12,9,6,10,0,3,3,3,2,1,3,3,2,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
240,0,45,4,5006,11,3,1.8,5,4,0,3,1,2,3,3,2,1,3,1,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
241,0,56,8,4257,18,3,3.8,2,2,2,2,1,3,3,3,1,1,3,3,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
242,0,33,2,2500,14,2,4,3,1,0,2,1,3,3,3,1,4,3,1,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
243,1,19,2,1102,22,3,0.5,1,0,1,0,1,3,2,2,1,4,4,3,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
244,0,46,1,10453,25,2,12,24,13,15,7,1,2,2,3,3,1,4,3,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
245,0,38,9,2288,12,3,1,2,2,2,1,1,2,3,3,1,4,3,3,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
246,0,31,12,3929,23,0,0.777777778,4,2,0,2,1,1,3,3,1,4,4,3,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
247,0,34,27,2311,15,3,3,3,2,1,2,1,2,4,3,1,2,3,4,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
248,1,41,20,3140,22,5,2,4,3,0,2,1,2,2,3,1,2,4,4,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
249,0,50,1,3690,15,2,1.666666667,3,2,0,2,1,3,3,2,1,3,3,4,1,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
250,0,53,13,4450,11,3,2.5,4,2,1,3,1,2,4,4,2,1,3,3,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
252,0,33,14,2756,13,5,4,8,7,1,6,1,3,4,3,1,2,3,4,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
253,0,40,4,19033,14,2,10.5,20,8,9,9,1,1,4,3,5,3,3,2,1,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
254,0,55,14,18722,11,3,4,24,15,2,15,1,4,3,4,5,2,3,4,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
256,0,34,2,9547,17,2,5,10,9,1,9,2,1,4,2,2,3,3,3,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
258,0,51,3,13734,18,6,5.25,7,7,1,0,1,3,4,3,4,2,3,3,0,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
259,0,52,1,19999,14,5,34,33,18,11,9,1,4,3,2,5,3,3,1,1,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
260,0,27,9,2279,16,2,3.5,7,7,0,3,1,3,4,3,1,2,3,4,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
261,1,35,23,5916,13,1,2,1,0,0,1,1,2,2,2,2,3,3,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
262,0,43,7,2089,14,3,1.4,5,4,2,2,0,3,4,4,1,4,3,4,3,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
264,0,45,2,16792,23,1,2.2,20,8,11,8,0,2,1,2,4,4,4,4,1,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
267,0,37,21,3564,12,3,4,8,7,1,7,1,3,2,4,1,1,3,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
269,0,35,2,4425,11,5,1.666666667,6,2,1,2,2,3,2,3,2,2,3,4,0,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
270,0,42,21,5265,16,5,3.666666667,5,3,0,2,0,2,3,3,2,3,3,2,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
271,0,38,2,6553,14,3,1.4,1,0,0,0,1,4,4,3,2,3,3,2,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
273,0,38,29,6261,18,3,2.25,7,7,1,7,1,3,4,3,2,4,3,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
274,0,27,1,4298,19,1,1,2,2,2,0,2,1,3,2,2,1,3,3,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
275,0,49,18,6804,15,0,3.5,7,7,1,7,0,4,4,3,2,4,3,1,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
277,0,34,10,3815,17,4,2.5,5,3,2,0,2,4,4,3,1,3,3,4,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
281,0,40,19,2741,15,2,1.666666667,7,2,3,7,1,2,3,3,2,4,3,3,1,4,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
282,1,38,29,6673,19,2,2.125,1,0,0,0,1,1,2,3,2,1,3,2,0,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
283,1,29,27,7639,22,3,5,10,4,1,9,1,3,2,3,3,4,4,4,3,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
284,0,22,5,2328,16,2,2,4,2,2,2,1,3,4,4,1,2,3,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
286,0,36,18,2153,13,2,4,8,1,1,7,2,1,2,3,1,4,3,1,0,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
287,0,40,9,4876,14,5,0.5,3,2,0,2,0,5,4,2,2,4,3,4,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
288,0,46,1,9396,16,3,2.125,4,2,0,3,1,4,4,3,3,1,3,3,1,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
291,1,32,4,10400,11,2,7,14,8,9,8,1,4,4,1,3,4,3,3,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
292,0,30,1,8474,22,2,6,11,8,5,8,0,1,3,2,3,3,4,3,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
293,0,27,20,9981,14,2,3.5,7,7,0,7,2,3,4,3,2,3,3,4,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
296,0,51,8,12490,16,5,2.666666667,10,9,4,7,1,4,2,2,3,2,3,4,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
297,1,30,3,2657,11,5,1.333333333,5,2,0,4,1,3,4,3,1,1,3,3,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1
298,0,41,6,13591,18,3,4,1,0,0,0,1,3,4,3,3,4,3,3,0,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
299,1,30,26,6696,15,5,1.5,6,3,0,1,2,4,3,2,2,1,3,3,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
300,1,29,1,2058,14,1,7,6,2,1,5,1,3,3,3,1,3,3,4,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
302,0,45,6,8865,12,2,3.285714286,19,7,12,8,0,3,4,2,3,4,3,4,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
303,0,54,3,5940,14,4,5.333333333,6,2,0,5,1,3,4,3,2,1,3,4,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
304,0,36,5,5914,16,3,1.777777778,13,11,3,7,1,2,4,3,2,2,3,4,0,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
305,0,33,4,2622,21,3,1,3,2,1,1,1,4,3,2,1,2,4,4,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
306,0,37,11,12185,14,1,5,10,8,0,7,2,3,2,3,3,4,3,3,3,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
307,0,38,3,10609,12,6,17,16,10,5,13,1,3,1,3,3,3,3,3,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
308,0,31,1,4345,12,2,6,5,4,1,4,0,4,3,1,2,3,3,4,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
309,0,59,3,2177,17,6,1.75,1,0,0,0,1,3,3,2,1,4,3,1,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
311,0,37,4,2793,17,2,2.6,9,8,5,8,2,4,1,3,1,4,3,3,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
312,0,29,1,7918,14,5,5.5,11,10,4,1,2,1,2,3,3,4,3,4,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
314,0,35,1,8789,14,3,5,10,7,0,8,2,3,3,3,3,3,3,1,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
315,1,29,18,2389,13,3,2,4,3,0,1,1,1,3,2,1,4,3,3,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
316,0,52,2,3212,15,3,0.75,2,2,2,2,1,3,3,2,1,4,3,2,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
319,0,42,4,19232,11,3,11,22,17,11,15,1,2,3,3,5,4,3,4,0,3,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
321,0,59,6,2267,17,2,0.777777778,2,2,2,2,1,2,2,3,1,3,3,4,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
323,0,50,1,19517,11,3,8,7,0,0,6,1,4,4,3,5,4,3,3,1,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
325,1,33,14,2436,13,2,1.333333333,5,4,0,4,1,3,3,3,1,4,3,3,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
327,0,43,16,16064,22,3,3.666666667,17,13,1,9,1,3,4,3,4,4,4,3,1,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
328,1,33,2,2707,20,3,1.625,9,7,1,7,1,2,1,3,1,1,4,1,0,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
329,0,52,2,19068,18,2,16.5,33,7,15,12,0,4,1,2,5,3,3,4,0,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
330,0,32,4,3931,11,5,2,4,3,1,2,1,2,3,3,1,2,3,1,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
331,1,32,1,3730,14,2,4,3,2,1,2,1,3,4,2,1,3,3,4,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
332,0,39,1,2232,14,1,0.875,3,2,1,2,1,4,3,3,1,3,3,3,3,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
333,0,32,26,4465,18,2,4,3,2,2,2,0,4,3,3,2,4,3,1,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
334,0,41,19,3072,16,2,5.666666667,1,0,0,0,1,2,3,3,2,1,3,1,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
335,0,40,24,3319,17,3,4.5,9,8,4,7,1,2,1,3,2,4,3,1,2,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
336,0,45,1,19202,11,2,25,24,0,1,7,1,3,3,4,5,4,3,3,1,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
337,0,31,3,13675,12,3,0.9,2,2,2,2,2,4,2,3,3,3,3,1,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
338,0,33,5,2911,13,2,1,2,2,0,2,1,4,3,2,1,4,3,3,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
339,0,34,2,5957,13,3,1.857142857,11,9,5,9,1,4,4,2,2,1,3,2,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
340,0,37,1,3920,14,2,5.666666667,3,1,0,2,1,2,3,2,1,1,3,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
341,0,45,7,6434,17,1,1.8,3,2,0,2,2,4,1,4,2,3,3,4,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
342,1,37,10,10048,11,5,2.428571429,1,0,0,0,2,3,1,3,3,3,3,2,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
343,0,39,2,10938,25,1,20,19,6,11,8,2,4,3,3,3,3,4,4,0,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
346,0,29,15,2340,19,1,3,6,5,1,5,1,3,3,3,1,4,3,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
347,0,42,17,6545,13,1,2.5,3,2,0,2,1,2,4,4,2,1,3,3,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
349,0,29,20,6931,14,2,3.333333333,3,2,0,2,1,2,4,3,2,4,3,4,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
350,0,25,1,4898,12,3,5,4,2,1,2,1,3,1,3,2,3,3,4,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
351,0,42,2,2593,11,4,10,9,6,7,8,1,3,4,2,1,1,3,3,1,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
352,0,40,2,19436,19,5,22,21,7,3,9,1,2,1,3,5,3,3,4,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
353,0,51,1,2723,11,0,0.5,1,0,0,0,1,3,3,3,1,4,3,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
355,1,31,29,3479,11,2,6,5,4,1,4,2,2,3,2,1,2,3,2,0,4,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
359,0,32,7,2794,20,3,2.5,5,1,0,3,2,3,2,4,1,2,4,3,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
361,0,38,2,5249,18,0,3.25,8,7,7,5,0,2,4,2,2,4,3,4,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
362,0,32,2,2176,13,5,1.8,6,2,0,4,1,1,4,2,2,1,3,4,0,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
363,0,46,2,16872,12,2,7,7,7,7,7,1,3,3,1,4,2,3,2,1,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1
364,1,28,2,3485,11,5,1.666666667,0,0,0,0,1,4,1,3,1,3,3,3,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
366,0,29,2,6644,19,2,3.333333333,0,0,0,0,1,3,1,2,2,2,3,2,2,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
367,0,31,23,5582,21,2,10,9,0,7,8,1,3,2,2,2,4,4,2,1,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
369,0,25,5,4000,12,2,3,6,3,1,5,0,2,2,4,2,1,3,4,2,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
372,0,45,20,13496,14,2,21,20,7,4,10,1,2,3,3,4,4,3,2,0,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
373,0,36,6,3210,11,4,16,15,13,10,11,1,3,4,3,1,4,3,3,1,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
374,0,55,1,19045,14,2,37,36,10,4,13,1,3,4,3,5,1,3,3,0,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
376,1,47,29,11849,12,2,5,10,7,9,9,0,4,1,3,3,2,3,4,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
377,0,28,9,2070,23,3,2.5,5,2,0,4,1,3,4,3,1,4,4,4,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
378,0,37,6,6502,14,5,1.4,5,4,0,1,1,4,3,3,2,4,3,2,1,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
379,0,21,3,3230,17,4,1.5,3,2,1,0,1,2,4,2,1,3,3,1,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
380,0,37,1,13603,18,2,5,5,2,0,2,0,4,1,3,3,4,3,1,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
381,0,35,22,11996,18,6,1.25,7,7,6,2,1,3,2,4,3,2,3,2,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
382,0,38,7,5605,24,3,4,8,0,7,7,1,2,1,4,2,1,4,3,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
384,0,26,1,6397,20,6,3,6,5,1,4,2,3,3,3,2,2,4,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
385,0,50,4,19144,14,4,7,10,4,1,6,1,1,1,3,5,2,3,1,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
386,0,53,3,17584,16,5,5.25,5,3,1,3,1,4,3,3,4,3,3,4,3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
387,0,42,1,4907,25,3,10,20,16,11,6,1,1,2,3,2,3,4,3,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
388,0,29,2,4554,18,3,5,10,7,0,9,2,2,2,3,2,4,3,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
389,0,55,20,5415,19,4,3,10,7,0,8,1,2,2,3,2,4,3,4,1,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
390,0,26,11,4741,13,3,2.5,5,3,3,3,2,2,1,3,2,1,3,3,1,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
391,0,37,1,2115,12,3,8.5,17,12,5,7,1,3,4,3,1,4,3,2,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
392,1,44,24,3161,22,0,4.75,1,0,0,0,2,3,4,3,1,3,4,4,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
393,0,38,23,5745,14,2,1,2,2,1,2,1,4,4,3,2,4,3,2,1,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
